origem,destino,peso
Abadia de Goiás,Aparecida de Goiânia,21.82
Abadia de Goiás,Aragoiânia,16.85
Abadia de Goiás,Avelinópolis,46.68
Abadia de Goiás,Brazabrantes,37.07
Abadia de Goiás,Caldazinha,47.12
Abadia de Goiás,Campestre de Goiás,27.03
Abadia de Goiás,Caturaí,35.21
Abadia de Goiás,Cezarina,42.86
Abadia de Goiás,Goiânia,20.42
Abadia de Goiás,Goianira,29.24
Abadia de Goiás,Guapó,12.78
Abadia de Goiás,Hidrolândia,32.3
Abadia de Goiás,Inhumas,44.5
Abadia de Goiás,Nerópolis,45.6
Abadia de Goiás,Nova Veneza,45.11
Abadia de Goiás,Santa Bárbara de Goiás,34.07
Abadia de Goiás,Santo Antônio de Goiás,33.72
Abadia de Goiás,Senador Canedo,37.64
Abadia de Goiás,Trindade,12.96
Abadia de Goiás,Varjão,38.04
Abadiânia,Alexânia,24.64
Abadiânia,Anápolis,30.16
Abadiânia,Campo Limpo de Goiás,42.46
Abadiânia,Cocalzinho de Goiás,45.7
Abadiânia,Corumbá de Goiás,32.35
Abadiânia,Gameleira de Goiás,32.71
Abadiânia,Goianápolis,48.57
Abadiânia,Leopoldo de Bulhões,47.09
Abadiânia,Pirenópolis,47.03
Abadiânia,Terezópolis de Goiás,45.56
Acreúna,Edéia,47.67
Acreúna,Jandaia,45.73
Acreúna,Santo Antônio da Barra,32.93
Adelândia,Americano do Brasil,26.48
Adelândia,Anicuns,22.5
Adelândia,Aurilândia,43.33
Adelândia,Avelinópolis,43.91
Adelândia,Buriti de Goiás,38.35
Adelândia,Córrego do Ouro,43.18
Adelândia,Firminópolis,23.55
Adelândia,Mossâmedes,32.51
Adelândia,Nazário,35.58
Adelândia,Palminópolis,42.22
Adelândia,Sanclerlândia,28.64
Adelândia,São Luís de Montes Belos,25.14
Adelândia,Turvânia,22.43
Água Fria de Goiás,Mimoso de Goiás,41.5
Água Fria de Goiás,São João d'Aliança,41.22
Água Limpa,Buriti Alegre,30.36
Água Limpa,Caldas Novas,39.71
Água Limpa,Corumbaíba,22.09
Água Limpa,Marzagão,16.35
Água Limpa,Rio Quente,33.73
Águas Lindas de Goiás,Alexânia,43.17
Águas Lindas de Goiás,Novo Gama,41.86
Águas Lindas de Goiás,Santo Antônio do Descoberto,20.12
Águas Lindas de Goiás,Valparaíso de Goiás,46.99
Alexânia,Cocalzinho de Goiás,43.24
Alexânia,Corumbá de Goiás,37.0
Alexânia,Gameleira de Goiás,47.06
Alexânia,Novo Gama,49.85
Alexânia,Santo Antônio do Descoberto,31.03
Aloândia,Edealina,39.34
Aloândia,Goiatuba,33.42
Aloândia,Joviânia,17.15
Aloândia,Mairipotaba,48.02
Aloândia,Morrinhos,39.3
Aloândia,Pontalina,23.17
Aloândia,Vicentinópolis,34.72
Alto Horizonte,Amaralina,30.82
Alto Horizonte,Campinorte,23.89
Alto Horizonte,Campos Verdes,34.34
Alto Horizonte,Estrela do Norte,46.71
Alto Horizonte,Mara Rosa,26.69
Alto Horizonte,Nova Iguaçu de Goiás,11.24
Alto Horizonte,Santa Terezinha de Goiás,47.77
Alto Horizonte,Uruaçu,42.07
Alto Paraíso de Goiás,Cavalcante,37.46
Alto Paraíso de Goiás,Teresina de Goiás,47.03
Alvorada do Norte,Buritinópolis,8.98
Alvorada do Norte,Damianópolis,34.87
Alvorada do Norte,Iaciara,44.81
Alvorada do Norte,Mambaí,40.32
Alvorada do Norte,Posse,45.68
Alvorada do Norte,Simolândia,1.83
Alvorada do Norte,Sítio d'Abadia,43.94
Amaralina,Campinorte,46.11
Amaralina,Estrela do Norte,25.06
Amaralina,Mara Rosa,16.32
Amaralina,Mutunópolis,21.62
Amaralina,Nova Iguaçu de Goiás,41.56
Amaralina,Santa Tereza de Goiás,38.34
Americano do Brasil,Anicuns,23.77
Americano do Brasil,Araçu,34.35
Americano do Brasil,Avelinópolis,33.96
Americano do Brasil,Buriti de Goiás,48.41
Americano do Brasil,Firminópolis,49.89
Americano do Brasil,Goiás,39.14
Americano do Brasil,Itaberaí,31.88
Americano do Brasil,Itauçu,40.1
Americano do Brasil,Mossâmedes,28.4
Americano do Brasil,Nazário,38.19
Americano do Brasil,Sanclerlândia,35.67
Americano do Brasil,Santa Bárbara de Goiás,46.99
Americano do Brasil,Taquaral de Goiás,46.17
Americano do Brasil,Turvânia,43.37
Amorinópolis,Cachoeira de Goiás,47.81
Amorinópolis,Diorama,45.89
Amorinópolis,Iporá,19.69
Amorinópolis,Israelândia,38.72
Amorinópolis,Ivolândia,31.99
Amorinópolis,Moiporá,38.45
Amorinópolis,Palestina de Goiás,48.75
Anápolis,Bonfinópolis,32.17
Anápolis,Brazabrantes,47.54
Anápolis,Caldazinha,42.96
Anápolis,Campo Limpo de Goiás,14.97
Anápolis,Corumbá de Goiás,47.35
Anápolis,Damolândia,44.53
Anápolis,Gameleira de Goiás,37.18
Anápolis,Goianápolis,21.55
Anápolis,Leopoldo de Bulhões,39.35
Anápolis,Nerópolis,30.01
Anápolis,Nova Veneza,39.09
Anápolis,Ouro Verde de Goiás,28.5
Anápolis,Petrolina de Goiás,48.35
Anápolis,Santo Antônio de Goiás,41.69
Anápolis,Senador Canedo,44.79
Anápolis,Terezópolis de Goiás,15.4
